text,user_type
"The new dashboard is much faster and easier to navigate.",paid
"Onboarding took too long and the docs were outdated.",trial
"Export to CSV works perfectly now. Huge time saver for our team.",paid
"The mobile app crashes when I upload large files.",paid
"Pricing is fair compared to competitors for what we get.",trial
"Integration with Slack was set up in under ten minutes.",paid
"I could not reset my password and support took two days to respond.",trial
"Love the dark mode and the weekly summary emails.",paid
"The search feature returns irrelevant results most of the time.",paid
"Solid product overall. A few rough edges but improving quickly.",trial
