tweet,likes
"Just finished the season finale — absolutely mind-blowing plot twist!",842
"This update broke my save file. Developers need to fix this ASAP.",312
"Not sure how I feel about the new character. Might grow on me.",56
"Ten out of ten would recommend to anyone who loves sci-fi.",1204
"The pacing in episode four was slow but the finale made up for it.",89
"Worst episode of the series. Felt like filler content.",445
"Can we talk about that soundtrack? Goosebumps the entire time.",678
"Neutral take: it was fine. Not great, not terrible.",23
"Community is toxic today. Stepping away from the comments.",91
"Already rewatching from episode one. This show is a masterpiece.",2103
