content,room_type
"Spotless room and the bed was incredibly comfortable.",Deluxe King
"Check-in took forever and the elevator was out of service.",Standard Twin
"Great location near the beach. Staff helped us book tours.",Ocean View
"Wi-Fi was unreliable and the air conditioning was noisy.",Standard Twin
"Breakfast buffet had plenty of options and fresh fruit daily.",Deluxe King
"The pool area was closed for maintenance with no prior notice.",Suite
"Concierge arranged a late checkout without any hassle.",Ocean View
"Room smelled musty and housekeeping skipped our room one day.",Standard Twin
"Beautiful lobby and friendly reception team on arrival.",Suite
"Average stay. Nothing bad but nothing memorable either.",Deluxe King
