review,rating,product
"The headphones are comfortable and the noise cancellation is excellent.",5,Wireless Headphones
"Battery died after three days. Very disappointed with the quality.",1,Wireless Headphones
"Sound is okay for the price but the case feels cheap.",3,Wireless Headphones
"Fast shipping and the packaging was secure. Product works as described.",5,USB-C Hub
"One port stopped working within a week. Support never replied to my email.",1,USB-C Hub
"The laptop is lightweight and the screen is bright. Great for travel.",5,UltraBook 14
"Fan is loud under load and it gets hot during video calls.",2,UltraBook 14
"Keyboard feels premium and battery easily lasts a full workday.",5,UltraBook 14
"Arrived with a dent on the corner. Returning it tomorrow.",1,UltraBook 14
"Average phone camera. Fine for everyday use but not for photography.",3,Smartphone X
